         35876769 function calls (35708270 primitive calls) in 25.571 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    36096    0.007    0.000    0.007    0.000 blocks.py:201(internal_values)
      888    0.006    0.000    0.071    0.000 algorithms.py:1586(take_nd)
     6342    0.006    0.000    0.010    0.000 xlsx.py:143(cooked_text)
     6328    0.006    0.000    0.017    0.000 xlsx.py:151(get_text_from_si_or_is)
        2    0.006    0.003    0.006    0.003 {built-in method statusBar}
     7789    0.006    0.000    0.015    0.000 frame.py:3155(_ensure_valid_index)
       81    0.006    0.000    0.006    0.000 {built-in method io.open}
       52    0.006    0.000    0.015    0.000 managers.py:1810(_stack_arrays)
     7530    0.006    0.000    0.018    0.000 indexers.py:91(is_empty_indexer)
     7530    0.006    0.000    0.033    0.000 indexers.py:117(check_setitem_lengths)
      562    0.006    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
        8    0.006    0.001    0.006    0.001 backend_qt5.py:692(_icon)
    16776    0.006    0.000    0.029    0.000 re.py:179(search)
     8900    0.005    0.000    0.005    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      233    0.005    0.000    0.005    0.000 {method 'argsort' of 'numpy.ndarray' objects}
      601    0.005    0.000    0.005    0.000 {built-in method zlib.crc32}
    15261    0.005    0.000    0.005    0.000 generic.py:3600(_check_setitem_copy)
     7562    0.005    0.000    0.041    0.000 generic.py:5229(_is_mixed_type)
    11386    0.005    0.000    0.005    0.000 sharedstrings.py:138(_get_shared_string_index)
    23737    0.005    0.000    0.005    0.000 managers.py:169(blklocs)
        1    0.005    0.005    0.009    0.009 book.py:1383(unpack_SST_table)
   728/43    0.005    0.000    0.837    0.019 <frozen importlib._bootstrap>:966(_find_and_load)
      155    0.005    0.000    0.018    0.000 managers.py:1873(_merge_blocks)
    10412    0.005    0.000    0.009    0.000 cast.py:1584(construct_1d_ndarray_preserving_na)
     7795    0.005    0.000    0.005    0.000 {pandas._libs.internals.get_blkno_placements}
     7564    0.005    0.000    0.014    0.000 numpy_.py:210(__array__)
     5425    0.005    0.000    0.015    0.000 xmlwriter.py:112(_xml_si_element)
    15861    0.005    0.000    0.005    0.000 generic.py:232(attrs)
     7562    0.005    0.000    0.022    0.000 generic.py:5231(<lambda>)
     7833    0.005    0.000    0.013    0.000 frame.py:1098(__len__)
 1557/264    0.005    0.000    0.015    0.000 abc.py:196(__subclasscheck__)
        1    0.005    0.005    0.018    0.018 backend_qt5.py:552(__init__)
     7647    0.005    0.000    0.089    0.000 managers.py:771(<listcomp>)
    24663    0.005    0.000    0.005    0.000 {built-in method builtins.min}
     7618    0.004    0.000    0.004    0.000 managers.py:1041(value_getitem)
     7871    0.004    0.000    0.034    0.000 managers.py:948(_consolidate_inplace)
     5748    0.004    0.000    0.005    0.000 jst_lib.py:19(<lambda>)
      312    0.004    0.000    0.033    0.000 typing.py:922(__new__)
    14495    0.004    0.000    0.007    0.000 common.py:188(<lambda>)
      347    0.004    0.000    0.019    0.000 concat.py:347(_get_empty_dtype_and_na)
    17027    0.004    0.000    0.004    0.000 base.py:1169(name)
      706    0.004    0.000    0.141    0.000 <frozen importlib._bootstrap>:870(_find_spec)
      639    0.004    0.000    0.011    0.000 inspect.py:2102(_signature_from_function)
4094/4022    0.004    0.000    0.006    0.000 typing.py:1164(__setattr__)
    14495    0.004    0.000    0.004    0.000 common.py:183(classes_and_not_datetimelike)
     5072    0.004    0.000    0.004    0.000 {method 'format' of 'str' objects}
17586/17582    0.004    0.000    0.005    0.000 {method 'join' of 'str' objects}
    33744    0.004    0.000    0.004    0.000 {pandas._libs.missing.isposinf_scalar}
     5714    0.004    0.000    0.004    0.000 jst_lib.py:22(<lambda>)
     7738    0.004    0.000    0.018    0.000 dispatch.py:11(should_extension_dispatch)
 1052/202    0.004    0.000    0.011    0.000 sre_compile.py:64(_compile)
      734    0.004    0.000    0.016    0.000 cast.py:441(maybe_promote)
    10040    0.004    0.000    0.005    0.000 jst_lib.py:72(<lambda>)
       88    0.004    0.000    0.004    0.000 {method 'factorize' of 'pandas._libs.hashtable.Factorizer' objects}
    21745    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
     4822    0.004    0.000    0.004    0.000 jst_lib.py:25(<lambda>)
       63    0.004    0.000    0.004    0.000 {method 'factorize' of 'pandas._libs.hashtable.StringHashTable' objects}
       11    0.004    0.000    1.751    0.159 _base.py:390(parse)
      888    0.004    0.000    0.013    0.000 algorithms.py:1457(_get_take_nd_function)
     1489    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     6066    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
       74    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
      157    0.004    0.000    0.004    0.000 {pandas._libs.algos.take_2d_axis0_object_object}
     1743    0.004    0.000    0.014    0.000 common.py:218(asarray_tuplesafe)
      254    0.004    0.000    0.011    0.000 index_tricks.py:318(__getitem__)
      566    0.004    0.000    0.012    0.000 typing.py:613(_remove_dups_flatten)
     1486    0.004    0.000    0.004    0.000 {built-in method _thread.allocate_lock}
      613    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
     2829    0.004    0.000    0.007    0.000 xmlwriter.py:61(_xml_start_tag_unencoded)
        1    0.004    0.004    0.004    0.004 {built-in method mkl._py_mkl_service.get_version}
